date,bikes_count,bikes_pred,August,December,February,January,July,June,March,May,November,October,September,Weekend,trend,trend_sq,trend_cub
24/02/2017,1044,NA,0,0,1,0,0,0,0,0,0,0,0,0,800,640000,5.12E+08
25/02/2017,706,NA,0,0,1,0,0,0,0,0,0,0,0,1,801,641601,513922401
26/02/2017,495,NA,0,0,1,0,0,0,0,0,0,0,0,1,802,643204,515849608
27/02/2017,831,NA,0,0,1,0,0,0,0,0,0,0,0,0,803,644809,517781627
28/02/2017,947,NA,0,0,1,0,0,0,0,0,0,0,0,0,804,646416,519718464
01/03/2017,1223,NA,0,0,0,0,0,0,1,0,0,0,0,0,805,648025,521660125
02/03/2017,1274,NA,0,0,0,0,0,0,1,0,0,0,0,0,806,649636,523606616
03/03/2017,963,NA,0,0,0,0,0,0,1,0,0,0,0,0,807,651249,525557943
04/03/2017,753,NA,0,0,0,0,0,0,1,0,0,0,0,1,808,652864,527514112
05/03/2017,436,NA,0,0,0,0,0,0,1,0,0,0,0,1,809,654481,529475129
06/03/2017,1005,NA,0,0,0,0,0,0,1,0,0,0,0,0,810,656100,531441000
07/03/2017,1109,NA,0,0,0,0,0,0,1,0,0,0,0,0,811,657721,533411731
08/03/2017,1164,NA,0,0,0,0,0,0,1,0,0,0,0,0,812,659344,535387328
09/03/2017,1012,NA,0,0,0,0,0,0,1,0,0,0,0,0,813,660969,537367797
10/03/2017,1299,NA,0,0,0,0,0,0,1,0,0,0,0,0,814,662596,539353144
11/03/2017,437,NA,0,0,0,0,0,0,1,0,0,0,0,1,815,664225,541343375
12/03/2017,628,NA,0,0,0,0,0,0,1,0,0,0,0,1,816,665856,543338496
13/03/2017,1088,NA,0,0,0,0,0,0,1,0,0,0,0,0,817,667489,545338513
14/03/2017,1495,NA,0,0,0,0,0,0,1,0,0,0,0,0,818,669124,547343432
15/03/2017,1519,NA,0,0,0,0,0,0,1,0,0,0,0,0,819,670761,549353259
16/03/2017,1581,NA,0,0,0,0,0,0,1,0,0,0,0,0,820,672400,551368000
17/03/2017,1197,NA,0,0,0,0,0,0,1,0,0,0,0,0,821,674041,553387661
18/03/2017,844,NA,0,0,0,0,0,0,1,0,0,0,0,1,822,675684,555412248
19/03/2017,1285,NA,0,0,0,0,0,0,1,0,0,0,0,1,823,677329,557441767
20/03/2017,1421,NA,0,0,0,0,0,0,1,0,0,0,0,0,824,678976,559476224
21/03/2017,1303,NA,0,0,0,0,0,0,1,0,0,0,0,0,825,680625,561515625
22/03/2017,1499,NA,0,0,0,0,0,0,1,0,0,0,0,0,826,682276,563559976
23/03/2017,1487,NA,0,0,0,0,0,0,1,0,0,0,0,0,827,683929,565609283
24/03/2017,1363,NA,0,0,0,0,0,0,1,0,0,0,0,0,828,685584,567663552
25/03/2017,1230,NA,0,0,0,0,0,0,1,0,0,0,0,1,829,687241,569722789
26/03/2017,419,NA,0,0,0,0,0,0,1,0,0,0,0,1,830,688900,571787000
27/03/2017,1588,NA,0,0,0,0,0,0,1,0,0,0,0,0,831,690561,573856191
28/03/2017,934,NA,0,0,0,0,0,0,1,0,0,0,0,0,832,692224,575930368
29/03/2017,1259,NA,0,0,0,0,0,0,1,0,0,0,0,0,833,693889,578009537
30/03/2017,1925,NA,0,0,0,0,0,0,1,0,0,0,0,0,834,695556,580093704
31/03/2017,1634,NA,0,0,0,0,0,0,1,0,0,0,0,0,835,697225,582182875
01/04/2017,1029,NA,0,0,0,0,0,0,0,0,0,0,0,1,836,698896,584277056
02/04/2017,1328,NA,0,0,0,0,0,0,0,0,0,0,0,1,837,700569,586376253
03/04/2017,2020,NA,0,0,0,0,0,0,0,0,0,0,0,0,838,702244,588480472
04/04/2017,1781,NA,0,0,0,0,0,0,0,0,0,0,0,0,839,703921,590589719
05/04/2017,1366,NA,0,0,0,0,0,0,0,0,0,0,0,0,840,705600,592704000
06/04/2017,1696,NA,0,0,0,0,0,0,0,0,0,0,0,0,841,707281,594823321
07/04/2017,1184,NA,0,0,0,0,0,0,0,0,0,0,0,0,842,708964,596947688
08/04/2017,788,NA,0,0,0,0,0,0,0,0,0,0,0,1,843,710649,599077107
09/04/2017,1211,NA,0,0,0,0,0,0,0,0,0,0,0,1,844,712336,601211584
10/04/2017,1780,NA,0,0,0,0,0,0,0,0,0,0,0,0,845,714025,603351125
11/04/2017,2111,NA,0,0,0,0,0,0,0,0,0,0,0,0,846,715716,605495736
12/04/2017,1270,NA,0,0,0,0,0,0,0,0,0,0,0,0,847,717409,607645423
13/04/2017,1633,NA,0,0,0,0,0,0,0,0,0,0,0,0,848,719104,609800192
14/04/2017,1337,NA,0,0,0,0,0,0,0,0,0,0,0,0,849,720801,611960049
15/04/2017,1292,NA,0,0,0,0,0,0,0,0,0,0,0,1,850,722500,614125000
16/04/2017,1377,NA,0,0,0,0,0,0,0,0,0,0,0,1,851,724201,616295051
17/04/2017,1377,NA,0,0,0,0,0,0,0,0,0,0,0,0,852,725904,618470208
18/04/2017,1926,NA,0,0,0,0,0,0,0,0,0,0,0,0,853,727609,620650477
19/04/2017,1815,NA,0,0,0,0,0,0,0,0,0,0,0,0,854,729316,622835864
20/04/2017,1979,NA,0,0,0,0,0,0,0,0,0,0,0,0,855,731025,625026375
21/04/2017,2150,NA,0,0,0,0,0,0,0,0,0,0,0,0,856,732736,627222016
22/04/2017,947,NA,0,0,0,0,0,0,0,0,0,0,0,1,857,734449,629422793
23/04/2017,1087,NA,0,0,0,0,0,0,0,0,0,0,0,1,858,736164,631628712
24/04/2017,2099,NA,0,0,0,0,0,0,0,0,0,0,0,0,859,737881,633839779
25/04/2017,1937,NA,0,0,0,0,0,0,0,0,0,0,0,0,860,739600,636056000
26/04/2017,1963,NA,0,0,0,0,0,0,0,0,0,0,0,0,861,741321,638277381
27/04/2017,1917,NA,0,0,0,0,0,0,0,0,0,0,0,0,862,743044,640503928
28/04/2017,2071,NA,0,0,0,0,0,0,0,0,0,0,0,0,863,744769,642735647
29/04/2017,702,NA,0,0,0,0,0,0,0,0,0,0,0,1,864,746496,644972544
30/04/2017,1473,NA,0,0,0,0,0,0,0,0,0,0,0,1,865,748225,647214625
01/05/2017,1626,NA,0,0,0,0,0,0,0,1,0,0,0,0,866,749956,649461896
02/05/2017,2303,NA,0,0,0,0,0,0,0,1,0,0,0,0,867,751689,651714363
03/05/2017,1855,NA,0,0,0,0,0,0,0,1,0,0,0,0,868,753424,653972032
04/05/2017,2757,NA,0,0,0,0,0,0,0,1,0,0,0,0,869,755161,656234909
05/05/2017,1643,NA,0,0,0,0,0,0,0,1,0,0,0,0,870,756900,658503000
06/05/2017,1515,NA,0,0,0,0,0,0,0,1,0,0,0,1,871,758641,660776311
07/05/2017,1816,NA,0,0,0,0,0,0,0,1,0,0,0,1,872,760384,663054848
08/05/2017,2275,NA,0,0,0,0,0,0,0,1,0,0,0,0,873,762129,665338617
09/05/2017,2616,NA,0,0,0,0,0,0,0,1,0,0,0,0,874,763876,667627624
10/05/2017,2381,NA,0,0,0,0,0,0,0,1,0,0,0,0,875,765625,669921875
11/05/2017,1582,NA,0,0,0,0,0,0,0,1,0,0,0,0,876,767376,672221376
12/05/2017,1990,NA,0,0,0,0,0,0,0,1,0,0,0,0,877,769129,674526133
13/05/2017,1221,NA,0,0,0,0,0,0,0,1,0,0,0,1,878,770884,676836152
14/05/2017,1166,NA,0,0,0,0,0,0,0,1,0,0,0,1,879,772641,679151439
15/05/2017,1486,NA,0,0,0,0,0,0,0,1,0,0,0,0,880,774400,681472000
16/05/2017,2155,NA,0,0,0,0,0,0,0,1,0,0,0,0,881,776161,683797841
17/05/2017,2387,NA,0,0,0,0,0,0,0,1,0,0,0,0,882,777924,686128968
18/05/2017,2351,NA,0,0,0,0,0,0,0,1,0,0,0,0,883,779689,688465387
19/05/2017,2242,NA,0,0,0,0,0,0,0,1,0,0,0,0,884,781456,690807104
20/05/2017,2052,NA,0,0,0,0,0,0,0,1,0,0,0,1,885,783225,693154125
21/05/2017,2033,NA,0,0,0,0,0,0,0,1,0,0,0,1,886,784996,695506456
22/05/2017,2290,NA,0,0,0,0,0,0,0,1,0,0,0,0,887,786769,697864103
23/05/2017,2390,NA,0,0,0,0,0,0,0,1,0,0,0,0,888,788544,700227072
24/05/2017,2413,NA,0,0,0,0,0,0,0,1,0,0,0,0,889,790321,702595369
25/05/2017,2803,NA,0,0,0,0,0,0,0,1,0,0,0,0,890,792100,704969000
26/05/2017,2623,NA,0,0,0,0,0,0,0,1,0,0,0,0,891,793881,707347971
27/05/2017,2121,NA,0,0,0,0,0,0,0,1,0,0,0,1,892,795664,709732288
28/05/2017,2262,NA,0,0,0,0,0,0,0,1,0,0,0,1,893,797449,712121957
29/05/2017,3869,NA,0,0,0,0,0,0,0,1,0,0,0,0,894,799236,714516984
30/05/2017,1960,NA,0,0,0,0,0,0,0,1,0,0,0,0,895,801025,716917375
31/05/2017,2804,NA,0,0,0,0,0,0,0,1,0,0,0,0,896,802816,719323136
